"sample_submitter_id","MUC1","MUC12","MUC12-AS1","MUC13","MUC15","MUC16","MUC17","MUC19","MUC2","MUC20","MUC20-OT1","MUC20P1","MUC21","MUC22","MUC3A","MUC4","MUC5AC","MUC5B","MUC5B-AS1","MUC6","MUC7","MUCL1","MUCL3"
"TCGA-F5-6811-01A",38.1989,56.0994,1.5372,1249.4916,0.0218,0.0054,10.0704,0.0027,207.1534,76.3977,2.9284,50.3212,0.6598,0,65.1868,6.2613,1.2595,36.8444,0,0.5746,2.2081,0.2757,0.4543
"TCGA-AF-5654-01A",17.2026,1.9015,3.0101,380.3413,0,0.0033,0.0736,0.044,1.1492,28.8911,3.8205,13.3405,0,0,21.4752,0.8331,0.0454,0.7091,0,0.0256,0.8499,0.0544,0
"TCGA-AF-3913-01A",35.2977,76.717,3.8776,917.734,0,0.0252,0.6659,0,11.4624,78.9674,2.197,27.4305,0,0,46.1715,3.3409,2.2794,35.4538,0,0.1309,0,0.1192,0.0278
"TCGA-AG-3901-01A",128.0138,110.3895,4.3555,335.1103,0,0.0625,0.6581,0,768.986,41.6731,2.4266,17.746,0,0,15.3149,19.963,25.8983,126.077,0,2.4255,0,0.8117,0
"TCGA-AG-4001-01A",4.3999,41.4213,2.3004,707.4525,2.7842,0.0071,6.2873,0,31.1922,49.8018,1.8177,63.905,0,0,35.1366,1.4179,0.0089,0.0839,0,0.3514,0,0,0.0275
"TCGA-DC-6158-01A",92.3589,60.3,2.4679,699.4792,0.1018,0.7271,0.6401,0,62.4785,37.1558,3.1754,15.1646,0,0,40.6007,12.0196,1.256,25.6147,0,0.0216,0,0.138,0.0643
"TCGA-AG-3591-01A",56.6083,5.2423,2.4601,442.2326,0.5583,0.0257,2.6406,0,471.0634,22.4337,2.8233,21.6416,0,0,19.2578,17.558,0.6061,26.0973,0,0.0074,0,0.0315,0.022
"TCGA-AF-A56K-01A",5.3367,23.6619,12.29,356.8781,0,0.005,12.8219,0.0018,28.7796,20.9862,2.7557,8.6733,0,0,45.1382,3.4659,0.1028,0.4356,0,0.0451,0,0.0137,0.0096
"TCGA-AG-3587-01A",6.4583,43.2923,3.2144,316.69,0,0.0213,0.2926,0,1.6082,20.2011,2.8142,8.121,0.0493,0,48.9541,1.0758,1.9281,0.3216,0,0.3987,0.0668,0,0
"TCGA-G5-6641-01A",176.5589,179.3638,6.7259,842.6467,18.1215,0.3702,1.7174,0.0068,385.9216,48.4394,2.3982,12.0578,0,0,39.329,32.0896,1.7572,41.2185,0,0.1534,0,0.1003,0.0876
"TCGA-DC-6160-01A",159.299,65.331,3.9081,808.0634,0.0261,0.0085,5.6929,0,240.3919,20.5959,2.8071,4.6225,0,0,31.4289,41.1271,6.2794,83.2508,0,0.3437,0,0.0707,0
"TCGA-EI-6510-01A",183.1564,317.0475,4.1209,1320.5047,0,0.0014,1.9202,0,898.1474,37.6384,4.0674,36.5823,0,0,62.7707,45.3708,6.8044,250.6279,0,0.7312,0,0,0
"TCGA-DC-5337-01A",127.2385,10.3229,0.1975,396.1712,0,0,0.1586,0,2.1067,19.3275,0.8495,21.5299,0.0636,0,13.0131,4.9479,0.7739,6.2192,0,0,0.0287,0.081,0
"TCGA-AF-2692-11A",75.7071,121.4055,6.7624,978.6297,0.0295,0.0085,16.7579,0,514.6628,17.0391,2.0661,3.5601,0.0279,0,21.7363,26.8937,0.094,63.1087,0,0.0941,0,0.0133,0.0559
